metaamr_id	gene	protein_id	type	phenotype	mechanism	source
MAMR000001	emrC_Lis	EAC4468893.1	AMR	quaternary_ammonium	efflux	AMRFinder
MAMR000002	arsR_LGI2_1	EGO5141043.1	AMR	arsenite	other	AMRFinder
MAMR000003	mcr-9.2	MBO4175406.1	AMR	colistin	other	AMRFinder
MAMR000004	entFM	MBY0597968.1	AMR		other	AMRFinder
MAMR000005	sel27	NDR16746.1	AMR		other	AMRFinder
MAMR000006	sel28	NDR16747.1	AMR		other	AMRFinder
MAMR000007	blaLEN-42	WP_061154665.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000008	blaTEM-156	WP_061158039.1	AMR	beta-lactam	enzyme	AMRFinder
MAMR000009	blaPDC-114	WP_061189306.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000010	blaPDC-226	WP_061190338.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000011	blaPDC-116	WP_061193023.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000012	blaPDC-298	WP_061193431.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000013	blaPDC-97	WP_061196139.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000014	blaPDC-184	WP_061199990.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000015	beta-4	ABF69110.1	AMR	kappa	other	AMRFinder
MAMR000016	epsilon-7	ABF69117.1	AMR	xi	other	AMRFinder
MAMR000017	epsilon-2	ABF69121.1	AMR	epsilon	other	AMRFinder
MAMR000018	alpha-5	ABF69122.1	AMR	nu	other	AMRFinder
MAMR000019	blaKLUC-1	WP_061284984.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000020	cml_Ochro	WP_061345584.1	AMR	chloramphenicol	efflux	AMRFinder
MAMR000021	fosA7.6	WP_061377147.1	AMR	fosfomycin	other	AMRFinder
MAMR000022	blaCMY-84	WP_061547590.1	AMR	cephalosporin	enzyme	AMRFinder
MAMR000023	qnrE1	WP_061586512.1	AMR	quinolone	other	AMRFinder
MAMR000024	blaTEM-95	WP_061659705.1	AMR	beta-lactam	enzyme	AMRFinder
